id,nom,type_etablissement,telephone,adresse,ville,garde
5962,Pharmacie Leghzaoui,pharmacie,0528324343,"hay essalam, résid. attadamoune 2, imm. 47, mag 62 Agadir",Agadir,
6163,Pharmacie Lotfy,pharmacie,0528239009,44 rue Al Kawakibi hay Dakhla Agadir,Agadir,
6488,Pharmacie Maroc,pharmacie,0528320200,"hay al houda, imm. ennarjis ii n°8, près du poste police el houda AGADIR",Agadir,
6541,Pharmacie Mejjane,pharmacie,0528320604,"32 secteur l cité el houda, derrière lycée ajdir AGADIR",Agadir,
6731,Pharmacie Mokawama,pharmacie,0528842634,"8, bd Al Moukaouama, imm. Hamria q.i. Agadir",Agadir,
6766,Pharmacie Mosquée du Liban,pharmacie,0528823443,"bd des f.a.r., imm barutel, a coté de la mosquée liban, en face place des petits taxi Agadir",Agadir,
6955,Pharmacie Moutawakil,pharmacie,0528235287,"27, rue isli, rési. riad al qods, près de station ifriquia Agadir",Agadir,
7142,Pharmacie Nour AlFarah III,pharmacie,0528291050,"454, al farah 3 Agadir",Agadir,
7164,Pharmacie Nour AlFarah III,pharmacie,0627019851,Pharmacie Nour AlFarah III AGADIR,Agadir,
7274,Pharmacie Nour Lkheir,pharmacie,0525129353,projet tarek lkheir 9 Agadir,Agadir,
7297,Pharmacie Odessa,pharmacie,0528282882,"hay essalam, résid. tarik al kheir 1, imm. 2, mag. 4 Agadir",Agadir,
7385,Pharmacie Oubelkhir,pharmacie,0528280999,"rue 110 hay el farah, près de la mosquée assaad ibn zarara Agadir",Agadir,
7533,Pharmacie Principale,pharmacie,0528287007,"1, rue Principale, Tagadirt",Agadir,
7623,Pharmacie Rajaa,pharmacie,0528235670,"1026, bd abderrahman benzidane, cité salam AGADIR",Agadir,garde 24h/24
7650,Pharmacie Rayane,pharmacie,0667146045,Pharmacie Rayane AGADIR,Agadir,
7732,Pharmacie Salam,pharmacie,0528235636,"bd El Haj Massoud El Wafkaoui, Hay Salam Agadir",Agadir,
7774,Pharmacie Sara,pharmacie,0528320873,hay al houda bloc h n°299 Agadir,Agadir,
7978,Pharmacie Tahiri,pharmacie,0528823508,"rue allal ben abdallah, talborjt Agadir",Agadir,
7994,Pharmacie Tarik El Kheir,pharmacie,0644005640,5 hay Tarik Elkhair ilto 9 Agadir,Agadir,
7995,Pharmacie Tikida,pharmacie,0528320019,"hay al houda, imm. tikida n°10, cité el houda sur la route séparant cite el houda et salam AGADIR",Agadir,
2574,Pharmacie de Talborjt,pharmacie,0528822861,"42, rue mehdi ben toumert,talborjt Agadir",Agadir,
2503,Pharmacie de la Poste,pharmacie,0528842315,bd moukaouama en face du jardin lala meryem Agadir,Agadir,
2664,Pharmacie des F.a.r.,pharmacie,0528824332,"7, bd des f.a.r., imm. elmanzeh AGADIR",Agadir,garde 24h/24
2723,Pharmacie des Facultés,pharmacie,0528292796,"6, bd Onze Janvier, Projet Al Wid Agadir",Agadir,
2856,Pharmacie du Quartier Militaire,pharmacie,0528283946,"hay bensergao, n°8, cité al anwar lot tifaque route salam AGADIR",Agadir,
2799,Pharmacie du quartier,pharmacie,0528821315,"angle av. mly abdellah, et rue sidi bouknadel, q.i. num 32. a coté de l'etat major Agadir",Agadir,
6276,Pharmacie l'Université,pharmacie,0528230387,"139, bd onze janvier, cité dakhla Agadir",Agadir,
5720,Pharmacie la Bourse,pharmacie,0528812573,Pharmacie la Bourse AGADIR,Agadir,
5745,Pharmacie la jeunesse,pharmacie,0606701286,"22, bd Hassan Bounaamani, cité Dakhla Agadir",Agadir,garde 24h/24
5906,Pharmacie le Complexe,pharmacie,0528282307,"hay al wifaq, n° a/478 ben sergao, près de hamam al wifaq AGADIR",Agadir,
5933,Pharmacie le Corail Salam,pharmacie,0528228866,hay essalam rue 914 n°554 AGADIR,Agadir,
6980,Pharmacie Agdz,pharmacie,0524843747,Pharmacie Agdz,Agdz,
7782,Pharmacie Ennakhil,pharmacie,0524843370,Pharmacie Ennakhil AGDZ,Agdz,
1916,Pharmacie Al Maghreb Al Arabi,pharmacie,0528308494,"57 c, yassmina 1 , rte de tiznit Ait melloul",Ait Melloul,
3059,Pharmacie Chifa,pharmacie,0528240586,81 Rte Tiznit pont du Souss Ait melloul,Ait Melloul,
6836,Pharmacie Ouled Dahou Centre,pharmacie,0528319162,Ouled Dahou Centre AIT MELLOUL,Ait Melloul,
2047,Pharmacie de l'Atlas,pharmacie,0528241987,26 Avenue de la Marche Verte Ait melloul,Ait Melloul,
7317,Pharmacie Ajdir,pharmacie,0535207069,Pharmacie Ajdir,Ajdir,
9823,Pharmacie Sidi Abid,pharmacie,0661308503,Anzagh commune Ajdir - Maroc,Ajdir,
7592,Pharmacie Akhfennir,pharmacie,0528765585,Pharmacie Akhfennir,Akhfennir,
118,Pharmacie Abdelkerim El Khattabi,pharmacie,0539982270,61 av Bir Anzarane Al hoceima,Al Hoceima,garde 24h/24
599,Pharmacie Abi Yakoub El Badissi,pharmacie,0674416356,18 rue du Consul Mirador Al hoceima,Al Hoceima,
1278,Pharmacie Achifa,pharmacie,0539980655,"1, av. Abbas M'Saadi Al hoceima",Al Hoceima,
6125,Pharmacie Ajdir,pharmacie,0539802098,centre Ajdir rp.39 AL HOCEIMA,Al Hoceima,
9973,Pharmacie Al Baraka,pharmacie,0539980115,3 Lots Bades résid. Amina Al Hoceim,Al Hoceima,
7639,Pharmacie Al Hilal,pharmacie,0539980033,105 av Sidi Abid Al hoceima,Al Hoceima,
5121,Pharmacie Al Hoceima,pharmacie,0539841596,97 bd. Tarik Ibn Ziad Al hoceima,Al Hoceima,
2132,Pharmacie Al Hoda,pharmacie,0539980944,166 bd Tarik Ibn Ziad Al hoceima,Al Hoceima,
3597,Pharmacie Al Khair,pharmacie,0539841846,bd Abou Fariss Hamadani hay Mirador Al hoceima,Al Hoceima,
896,Pharmacie Al Manzah,pharmacie,0539840282,20 rue Med Hassan El Ouazzani Al hoceima,Al Hoceima,
418,Pharmacie Al Qods,pharmacie,0539840669,24 bd El Qods rte Sidi Mansour Al hoceima,Al Hoceima,
9167,Pharmacie AlOuahda,pharmacie,0539807878,20 rue AlOuahda imzouren Al Hoceima - Maroc,Al Hoceima,
5306,Pharmacie AlWafa,pharmacie,0539983449,"90, av. Hassan II ang. M'Barek ElBekkai Al hoceima",Al Hoceima,
2845,Pharmacie Andalous,pharmacie,0539982899,158 rue Hajrat Nekkor Al hoceima,Al Hoceima,
1738,Pharmacie Anissa,pharmacie,0539984234,33 av 9 juillet Al hoceima,Al Hoceima,
434,Pharmacie Anoual,pharmacie,0539982917,47 av. Imzouren Al hoceima,Al Hoceima,
34,Pharmacie Avicenne,pharmacie,0539982916,av. Tarik Ibnou Ziad Imm. Caballo Al hoceima,Al Hoceima,
6058,Pharmacie Azir,pharmacie,0539985388,161 rue Sidi Abid AL HOCEIMA,Al Hoceima,
626,Pharmacie Cala Bonita,pharmacie,0539985864,28 hay Cala Bonita résid. Firadaous Al hoceima,Al Hoceima,garde 24h/24
1225,Pharmacie Du Centre,pharmacie,0539813017,Pharmacie Du Centre AL HOCEIMA,Al Hoceima,
3523,Pharmacie ElMoustachfa,pharmacie,0539981131,89 av. AlIskandaria Al hoceima,Al Hoceima,
7851,Pharmacie Essalam,pharmacie,0539806667,Pharmacie Essalam AL HOCEIMA,Al Hoceima,
1764,Pharmacie Granada,pharmacie,0539840204,12 av. Madagascar Al hoceima,Al Hoceima,
9206,Pharmacie Ibnou Rochd,pharmacie,0539981757,168 av Hassan II Al Hoceima - Maroc,Al Hoceima,
5843,Pharmacie Khalid Ibn Alwalid,pharmacie,0539840863,17 av. Hajarat Nekour AL HOCEIMA,Al Hoceima,
9916,Pharmacie Manara,pharmacie,0539980101,av. Sidi Abid lotiss. Al Omrane Al Hoceima,Al Hoceima,
7737,Pharmacie Meditérraneo,pharmacie,0539840808,41 rue Houman El Fetouaki AL HOCEIMA,Al Hoceima,
5517,Pharmacie Noumidia,pharmacie,0539980645,57 rue Abdellah BenYacine Al hoceima,Al Hoceima,
1594,Pharmacie Nouvelle,pharmacie,0539982093,4 rue Idriss Al Akbar Al hoceima,Al Hoceima,
9124,Pharmacie Pasteur,pharmacie,0539981176,9 Bis bd. Med. V Al Hoceima - Maroc,Al Hoceima,
6325,Pharmacie Sidi Abid,pharmacie,0539984191,Pharmacie Sidi Abid AL HOCEIMA,Al Hoceima,
6554,Pharmacie Tidghine,pharmacie,0539813322,centre Ketama AL HOCEIMA,Al Hoceima,
1942,Pharmacie centrale du Rif,pharmacie,0539982582,23 Avenue Hassan II Al hoceima,Al Hoceima,
6029,Pharmacie le port,pharmacie,0539980606,Pharmacie le port AL HOCEIMA,Al Hoceima,
5147,Pharmacie Nordine,pharmacie,0528314002,hay Igueroufoulous Aourir,Aourir,
6543,Pharmacie 20 Aout,pharmacie,0523358990,Pharmacie 20 Aout AZEMMOUR,Azemmour,
9814,Pharmacie AlMahata,pharmacie,0523358737,30 bd Boujdour Azemmour - Maroc,Azemmour,
6445,Pharmacie Badr,pharmacie,0523358477,Pharmacie Badr AZEMMOUR,Azemmour,
6234,Pharmacie Belayachi,pharmacie,0523347342,Pharmacie Belayachi AZEMMOUR,Azemmour,
6110,Pharmacie Dar Achabab,pharmacie,0523358094,Pharmacie Dar Achabab AZEMMOUR,Azemmour,
6916,Pharmacie Derb Jdid,pharmacie,0523357867,Pharmacie Derb Jdid AZEMMOUR,Azemmour,
7199,Pharmacie Douar Dghoughi,pharmacie,0676206417,Pharmacie Douar Dghoughi AZEMMOUR,Azemmour,
9774,Pharmacie El Amal,pharmacie,0523357754,321 Bd Mohamed V Azemmour - Maroc,Azemmour,
7634,Pharmacie El Yosr,pharmacie,0523376420,Pharmacie El Yosr AZEMMOUR,Azemmour,
9784,Pharmacie ElIdrissi,pharmacie,0523358949,50 bd My ElHassan Azemmour - Maroc,Azemmour,
5835,Pharmacie ElManzah,pharmacie,0523347778,Pharmacie ElManzah AZEMMOUR,Azemmour,
6757,Pharmacie Ennasr,pharmacie,0523358239,Pharmacie Ennasr AZEMMOUR,Azemmour,
9831,Pharmacie Ennasr,pharmacie,0523358750,19 av. ElMassira lotiss. Ennasr Azemmour - Maroc,Azemmour,
689,Pharmacie Grande pharmacie d'Azemmour,pharmacie,0523347127,"47, bd Zerktouni Azemmour",Azemmour,
6024,Pharmacie Ibn Sina,pharmacie,0523347771,Pharmacie Ibn Sina AZEMMOUR,Azemmour,
6880,Pharmacie Ikram,pharmacie,0523347528,Pharmacie Ikram AZEMMOUR,Azemmour,
9806,Pharmacie Laila,pharmacie,0523358911,74 Bis bd. Laayoune Azemmour - Maroc,Azemmour,
9745,Pharmacie Mohamed V,pharmacie,0523347090,324 Bd Mohamed V Azemmour - Maroc,Azemmour,
8306,Pharmacie Moulay Smail,pharmacie,0523347455,Pharmacie Moulay Smail AZEMMOUR,Azemmour,
7001,Pharmacie Oum Rabii,pharmacie,0523358261,Pharmacie Oum Rabii AZEMMOUR,Azemmour,
5929,Pharmacie Pam,pharmacie,0523347290,Pharmacie Pam AZEMMOUR,Azemmour,
6626,Pharmacie de Peuple,pharmacie,0523347019,Pharmacie de Peuple AZEMMOUR,Azemmour,
7876,Pharmacie la Fontaine,pharmacie,0523357607,Pharmacie la Fontaine AZEMMOUR,Azemmour,
6966,Pharmacie la Gloire,pharmacie,0523347388,Pharmacie la Gloire AZEMMOUR,Azemmour,
6922,Pharmacie le Palmier,pharmacie,0612201363,Pharmacie le Palmier AZEMMOUR,Azemmour,
6968,Pharmacie les Iris,pharmacie,0523357406,Pharmacie les Iris AZEMMOUR,Azemmour,
2082,Pharmacie Adam,pharmacie,0771855060,lotiss. Adam Azrou,Azrou,
6253,Pharmacie Ahadaf,pharmacie,0535561239,90 rue Casablanca Ahadaf AZROU,Azrou,
7818,Pharmacie Ain Aghbal,pharmacie,0535562101,1072 lot. Ain Aghbal AZROU,Azrou,
8980,Pharmacie Akchmir,pharmacie,0535564641,quartier Michlifen II Ahadaf n°17 Azrou - Maroc,Azrou,
9949,Pharmacie Al Amraoui,pharmacie,0538344898,Essanaoubar Azrou,Azrou,
291,Pharmacie Al Arabi,pharmacie,0535561970,15 av Hassan II P 21 Azrou,Azrou,
6143,Pharmacie Al Arz,pharmacie,0535564268,quartier Ahadaf rue 17 n°152 AZROU,Azrou,
1553,Pharmacie Al Ihssane,pharmacie,0664187395,lot El Fath n°106 Azrou,Azrou,
6938,Pharmacie AlAmraoui,pharmacie,0535564974,Pharmacie AlAmraoui AZROU,Azrou,
1345,Pharmacie Azrou,pharmacie,0535560910,25 rue Tit Hcen Azrou,Azrou,
7940,Pharmacie El Bouchra,pharmacie,0535563706,Hay Mly Hassan Tizi rue 1 n°37 AZROU,Azrou,
3756,Pharmacie El Fath Saoudi,pharmacie,0535563347,207 bd Hassan II Ahadaf Azrou,Azrou,
6057,Pharmacie El Houda,pharmacie,0535560696,54 rue de Marrakech lot Mimoza AZROU,Azrou,
4468,Pharmacie Hanane,pharmacie,0535561417,"143, rue Mauritanie , Kechla Azrou",Azrou,
818,Pharmacie Ibn Sina,pharmacie,0535560616,Bouykour Ahadaf rue 33 n°9 Azrou,Azrou,
7434,Pharmacie Marina,pharmacie,0534934571,lotiss. El Hassania Ahadaf n°36 AZROU,Azrou,
7975,Pharmacie Masjid Essaada,pharmacie,0535564141,Ahadaf rue 15 n°578 AZROU,Azrou,
2964,Pharmacie Merchich,pharmacie,0535561111,hay El Farah lotiss. Farah II rte de Meknès Azrou,Azrou,
1138,Pharmacie Moyen Atlas,pharmacie,0535562873,1 bd Moulay Abdelkader Azrou,Azrou,
1705,Pharmacie Nakhil,pharmacie,0535564248,105 lotiss. Nakhil Ahadaf Azrou,Azrou,
7468,Pharmacie Nakhil,pharmacie,0670695386,Pharmacie Nakhil AZROU,Azrou,
1109,Pharmacie Oum Rayane,pharmacie,0535560438,82 q. Tabadlit Al Jdida rue 7 Azrou,Azrou,
6359,Pharmacie Oussaden,pharmacie,0535562238,127 bd Hassan II quartier Ahadaf AZROU,Azrou,
5809,Pharmacie Principale,pharmacie,0535562983,9 rue prince Mly Abdellah Azrou,Azrou,
8386,Pharmacie Rachad,pharmacie,0535564940,41 rue Sekkaya AZROU,Azrou,
510,Pharmacie Ramis,pharmacie,0535561820,365 lotiss. Essanaoubar Ahaddaf Azrou,Azrou,
983,Pharmacie Sakhra,pharmacie,0535561498,Pl. Mohammed V Azrou,Azrou,
3735,Pharmacie Sanawbar,pharmacie,0535560333,Nakhil III Ahadaf n°280 Azrou,Azrou,
482,Pharmacie Sara,pharmacie,0669887676,13 lotiss. Haimadi Ahadaf Azrou,Azrou,
6655,Pharmacie Sidi AlMakhfi,pharmacie,0535867613,Pharmacie Sidi AlMakhfi AZROU,Azrou,
3370,Pharmacie Takouine,pharmacie,0535564333,Atlas II n°122 Ahadaf Azrou,Azrou,
9830,Pharmacie Tigrigra,pharmacie,0767531606,Kasbah Ait Yahya Ouaalla Azrou - Maroc,Azrou,
6060,Pharmacie Wiwane,pharmacie,0535569164,Pharmacie Wiwane AZROU,Azrou,
7786,Pharmacie Youssra,pharmacie,0535561131,"Lotiss. Ain Aghbal , rte du souk Azrou",Azrou,garde 24h/24
6913,Pharmacie Zouhair,pharmacie,0535562447,rte de Midelt Ajellab AZROU,Azrou,
7840,Pharmacie la Mosquée,pharmacie,0535564403,Pharmacie la Mosquée AZROU,Azrou,
960,Pharmacie Al Aïn,pharmacie,0537740344,Centre Aïn Attig Aïn atiq,Aïn Atiq,
2185,Pharmacie Assaka,pharmacie,0537403084,lotiss. Promosud lot. n°1 Aïn atiq,Aïn Atiq,
7221,Pharmacie Aïn Attiq,pharmacie,0537741905,88 lotiss. Saada AIN ATIQ,Aïn Atiq,
7565,Pharmacie Najm,pharmacie,0537612885,70 résid. Manzeh AIN ATIQ,Aïn Atiq,
9813,Pharmacie Bni Rzine,pharmacie,0770726127,centre Had Beni Rezine Bab Berred - Maroc,Bab Berred,
15,Pharmacie 20 Août,pharmacie,0523483101,"2, bd du 20 Août Beni mellal",Beni Mellal,
120,Pharmacie Ait Tisslit,pharmacie,0523486772,80 lotiss. Jamila - Autre ville place Ait Tisslit Beni Mellal,Beni Mellal,
252,Pharmacie Almadhar,pharmacie,0523484830,hay Almadhar Beni Mellal,Beni Mellal,garde 24h/24
81,Pharmacie Aïn Asserdoun,pharmacie,0523487591,bd Houmane ElFetouaki Beni Mellal,Beni Mellal,
607,Pharmacie Balsam,pharmacie,0523420202,bd. Mohammed V rte de Tadla Beni Mellal,Beni Mellal,
686,Pharmacie Beni Mellal,pharmacie,0523483652,16 rue des Martyrs Beni Mellal,Beni Mellal,
700,Pharmacie Bin ElOuidane,pharmacie,0523483248,"hay AlMassira II , bloc 27 n°3 Beni Mellal",Beni Mellal,
734,Pharmacie Bouachouch,pharmacie,0523423935,bd Doubai rue 1 n°51 Beni Mellal,Beni Mellal,
767,Pharmacie Centrale,pharmacie,0523482166,Bd. Mohammed V Beni Mellal,Beni Mellal,
778,Pharmacie Chakib,pharmacie,0523486676,av. des F.a.r Beni Mellal,Beni Mellal,
870,Pharmacie Cherkaoui,pharmacie,0523429752,ouled Ayad Beni mellal,Beni Mellal,garde 24h/24
913,Pharmacie Chifa,pharmacie,0523486464,Dchira rue 1 n°12 Beni mellal,Beni Mellal,
994,Pharmacie Dar Dbagh,pharmacie,0523424041,107 bd Nouakchot rue 10 q. dar Dbagh BENI MELLAL,Beni Mellal,
1241,Pharmacie Dchira,pharmacie,0523483718,1 Bab ElKheir Beni mellal,Beni Mellal,
1565,Pharmacie El Mamoune,pharmacie,0662703580,Pharmacie El Mamoune BENI MELLAL,Beni Mellal,
1693,Pharmacie ElAmal,pharmacie,0523484914,"hay ElAmal , bloc 12 n°43 Beni Mellal",Beni Mellal,
1854,Pharmacie ElHouda,pharmacie,0523422639,Quartier ElHouda c. com. ElHouda n°20 Beni Mellal,Beni Mellal,
1887,Pharmacie ElMsalla,pharmacie,0523422709,Hay Aït Kourchi rue 1 n°54 Ouled Ayad Beni mellal,Beni Mellal,
1822,Pharmacie Elhansali,pharmacie,0523482165,9 bd Ahmed Elhansali Beni Mellal,Beni Mellal,
1975,Pharmacie Ennajat,pharmacie,0523485982,av. Laayoune n°151 bloc 15 hay El Houda Beni Mellal,Beni Mellal,
2087,Pharmacie Farabi,pharmacie,0523447439,Pharmacie Farabi BENI MELLAL,Beni Mellal,
2164,Pharmacie Foum Elanceur,pharmacie,0523420543,Pharmacie Foum Elanceur BENI MELLAL,Beni Mellal,
2205,Pharmacie Ghorm Elam,pharmacie,0523447345,Pharmacie Ghorm Elam BENI MELLAL,Beni Mellal,
2327,Pharmacie Hay Redouane,pharmacie,0523485103,lot Redouane Beni mellal,Beni Mellal,
2646,Pharmacie Laayayta,pharmacie,0523460293,Pharmacie Laayayta BENI MELLAL,Beni Mellal,
2686,Pharmacie Laghdira Hamra,pharmacie,0523420528,Ghdira Hamra Beni mellal,Beni Mellal,
2822,Pharmacie Meryem,pharmacie,0679499050,15 bd Mohammed V - Autre ville Beni Mellal,Beni Mellal,
2997,Pharmacie Nour,pharmacie,0523480200,"387, av. Hassan II Beni mellal",Beni Mellal,garde 24h/24
3076,Pharmacie Orangers,pharmacie,0523420340,"cité Limoune , villa Geoise, bloc 2 n°2 Beni Mellal",Beni Mellal,
6085,Pharmacie Ouled Yaiche,pharmacie,0523516185,Pharmacie Ouled Yaiche BENI MELLAL,Beni Mellal,
6418,Pharmacie Populaire,pharmacie,0523483870,"205, bd Laâyoune Beni Mellal",Beni Mellal,
6535,Pharmacie Quartier Administratif,pharmacie,0523429997,hay Darkoum bloc 7 n°14 Beni mellal,Beni Mellal,
6849,Pharmacie Rmila,pharmacie,0523485660,"173, bd 9 Septembre Beni mellal",Beni Mellal,
7040,Pharmacie Sabraoui,pharmacie,0523455894,Pharmacie Sabraoui BENI MELLAL,Beni Mellal,
7157,Pharmacie Sidi Abdelhalim,pharmacie,0523487202,Pharmacie Sidi Abdelhalim BENI MELLAL,Beni Mellal,
7437,Pharmacie Takadoum,pharmacie,0523486949,hay Takadoum bd. Bouzkri Ben Khalouk n°9 bloc 28 Beni mellal,Beni Mellal,
7486,Pharmacie Tamagnount,pharmacie,0523481892,"121, av Tamagnount Beni Mellal",Beni Mellal,
1272,Pharmacie de la gare,pharmacie,0523483372,"238, bd Mohammed V Beni mellal",Beni Mellal,
1537,Pharmacie du Maroc,pharmacie,0523482540,av. Taha Houcine bloc 6 n°1 q. Salem Beni mellal,Beni Mellal,
1525,Pharmacie du marché,pharmacie,0523482204,84 place du Marché Ibn Batouta Beni mellal,Beni Mellal,
1462,Pharmacie Abou ElKhayr,pharmacie,0536613232,4 rue Azrou Berkane,Berkane,
7226,Pharmacie Ain Reggada,pharmacie,0536620319,Pharmacie Ain Reggada BERKANE,Berkane,
5341,Pharmacie Andalous,pharmacie,0536613547,rue Zerhoun ang. rue Béni Znassen Berkane,Berkane,
6753,Pharmacie Bachiri,pharmacie,0536612145,337 bd. Hassan II BERKANE,Berkane,
2785,Pharmacie Bd Mohammed V,pharmacie,0536612989,87 bd Mohammed V Berkane,Berkane,
5921,Pharmacie Belfilali,pharmacie,0536230428,51 X rue Al Madina Elmounaouara BERKANE,Berkane,
6099,Pharmacie Bensalah,pharmacie,0536645589,Pharmacie Bensalah BERKANE,Berkane,
6045,Pharmacie Chifae,pharmacie,0536612477,125 rue El Wifaq hay Salam BERKANE,Berkane,
5779,Pharmacie Edderak,pharmacie,0536617576,"19, bd de la Victoire Berkane",Berkane,
5552,Pharmacie El Harti,pharmacie,0536616868,15 rue El Madina ELmounaouara hay Laayoune Berkane,Berkane,
380,Pharmacie El Kadi Ayad,pharmacie,0536614344,12 hay Masjid Berkane,Berkane,
6469,Pharmacie El Mekteb,pharmacie,0536614804,Pharmacie El Mekteb BERKANE,Berkane,
6444,Pharmacie El Mossalla,pharmacie,0536616101,6 rue Mly Idriss ang. rue El Karaouine hay Boukraa BERKANE,Berkane,
2813,Pharmacie El Widadia,pharmacie,0536231400,196 bd. Palestine hay ElAndalous Berkane,Berkane,
8187,Pharmacie ElMekteb,pharmacie,0536612855,132 rue ElMenzel Berkane,Berkane,
1165,Pharmacie Fethi,pharmacie,0536613064,2 rue Palestine Berkane,Berkane,
7032,Pharmacie Ghazouani,pharmacie,0536256482,37 bd Hassan II douar Bouayad rte d'Alkim M'Gaad Ras BERKANE,Berkane,
2089,Pharmacie Ibn Sina,pharmacie,0536612689,1 av. Ibnou Sina Berkane,Berkane,
3709,Pharmacie Khalid Ibnou El Walid,pharmacie,0536612020,hay El Moukawama rue 387 n°35 Berkane,Berkane,
3272,Pharmacie Laayoune,pharmacie,0536231807,8 X rue El Menzel Berkane,Berkane,
